Decision,ProjSize,TotalFilesProj,AverageBytes/s,Deadline,Diff
Accept,10620,4,5200.444141391858,5.273,1.9812579698719617
Accept,5310,4,4742.184839067226,1.899,2.000354876830509
Accept,4006,5,5202.021616510422,1.432,9.97777463347406
Accept,10511,2,2704.135124533642,3.021,0.0
Reject,20516,3,2704.135124533642,8.819,0.8990986165967856
Accept,17230,2,4345.896868008226,4.952,0.0
Reject,12207,3,4345.896868008226,3.042,0.18168125651832207
Accept,7051,3,1477.6164267860865,2.026,0.0
Reject,34025,3,1477.6164267860865,28.167,2.4752415160075376
Accept,1498,1,2167.312402679389,2.449,2.097957931116439
Reject,48713,7,2167.312402679389,23.421,3.3881734562022654
Accept,2138,1,1474.5568891557823,3.496,5.586656260030305
Reject,58713,7,1474.5568891557823,46.427,5.450248733854565
Accept,7372,2,3752.874796365889,12.054,0.0
Accept,27847,3,4276.918451067883,13.227,0.2807647761985531
Accept,22806,3,2887.0898806258942,16.82,0.882466068977948
Accept,44433,3,8670.298716987323,22.061,0.0
Accept,160,1,8033.178170191949,0.665,18.321251480938173
Accept,35224,7,4220.259629136484,10.439,1.5346668489459958
Accept,9094,4,2640.79282270443,4.515,2.425546228731522
Accept,5125,2,6650.460028017107,0.729,0.34029228464527
Accept,177,1,2597.458397092473,0.735,20.042641119350776
Accept,4860,3,3795.691369815056,1.75,4.363355052369727
Accept,8654,3,2616.148421394975,3.29,3.138780652286799
Accept,6894,3,3557.4650984742916,3.422,1.7428028467700236
Accept,144,1,3506.892519919611,0.598,14.695437026165587
Reject,61452,2,3506.892519919611,20.278,2.065105122750732
Accept,270,1,2447.9711389323998,0.115,0.638177043269231
Accept,4562,1,3524.643949557275,1.324,0.2191816172893728
Accept,80633,2,8819.643886546322,18.869,0.0
Accept,2917,5,3056.1325813077874,1.043,0.2472356525865396
Accept,6760,5,7359.040577419647,2.417,0.0
Accept,12691,6,2314.7001048541,5.108,0.14241805798916082
Accept,9388,3,6626.066944158264,3.134,0.0
Accept,5977,3,2205.4220720253925,2.558,0.2943318094013679
Accept,2615,2,6196.806074920142,1.06,0.0
Accept,74476,4,4452.892903661954,24.869,0.0
Accept,20797,3,2528.5928630178064,9.733,0.11795388159455948
Accept,13746,3,6093.781064895905,3.56,0.0
Accept,7108,3,2589.6361086742177,2.833,0.5269145124074051
Reject,32689,4,2589.6361086742177,14.667,2.792971465173642
Accept,25898,2,4600.2693526014355,10.504,0.0
Accept,14748,4,5896.744715243016,2.658,0.6123732696602395
Accept,75665,3,5867.067575175005,19.598,0.0
Reject,50769,4,5867.067575175005,10.009,0.6740598735123432
Accept,43384,1,-43384.0,21.54,0.0
Accept,8518,4,1982.8872962058367,4.229,0.0
Accept,8519,5,1468.5460838690651,4.229,0.0
Accept,30595,1,22010.48276055767,5.958,0.0
Accept,18413,2,4107.803429334814,11.815,1.589501921131027
Accept,59464,1,21969.866759474535,5.532,0.0
Accept,177,1,20717.635834011828,0.735,0.0
Accept,7664,3,3229.6015258917328,2.065,1.6167143320030941
Accept,160,1,3054.2715180151267,0.665,1.805589952959708
Accept,11732,1,3632.7236452393386,4.758,0.0
Accept,25706,1,16245.026957653912,10.426,0.0
Accept,8884,1,14880.924866864114,3.177,0.0
Accept,17740,6,1787.1631539621765,12.118,2.4963748231458105
Reject,8103,3,1787.1631539621765,5.081,5.021250019306604
Accept,144,1,1741.4196137377885,0.598,6.581941913942931
Accept,49258,1,14475.716504300446,5.015,0.0
Accept,6700,7,2752.8065576327126,2.396,0.0
Accept,25742,1,14466.354525471066,9.274,0.0
Accept,11872,5,1756.1409346435782,7.638,0.4158725591560698
Accept,60431,1,15669.469776128632,14.141,0.0
Accept,47264,1,15917.832457769762,15.782,0.0
Accept,24372,5,2865.9906642660862,10.475,2.5685247318642497
Accept,16584,1,15041.314057696458,4.766,0.0
Accept,6784,8,1574.278483005283,3.914,0.5923395296351359
Reject,24576,6,1574.278483005283,16.802,5.239392885352608
Reject,12437,7,1574.278483005283,9.194,0.7634212125728805
Accept,17334,1,3169.1187798229107,6.245,0.417695734148151
Accept,4832,2,1594.3815847754124,3.88,1.7162323825497625
Accept,20202,1,3490.57468258084,6.546,0.34855991814244547
Accept,23547,1,3835.756589153896,7.862,0.0
Accept,47673,9,12330.126968303532,5.012,0.0
Accept,38423,1,12476.624981139003,9.952,0.0
Accept,8950,3,3704.7486701459097,2.572,1.4784769568659952
Reject,47429,6,3704.7486701459097,13.503,1.5671181011019735
Accept,6628,1,12098.176828650538,10.837,0.0
Accept,19030,8,1642.2210893144863,14.183,0.8784485664710671
Reject,9258,3,1642.2210893144863,7.187,1.1193560053916956
Reject,47548,6,1642.2210893144863,36.155,4.791852487067065
Accept,33205,1,4143.587612244099,9.849,0.0421885140931413
Accept,2138,1,4132.696011581191,3.496,1.5637360472542947
Accept,24891,7,1978.1661158488369,17.312,1.3510022761049907
Accept,2242,2,1840.454944568757,3.666,3.1344549029047672
